SectionName,Degrees
L5PCtemplate[0].soma[0],0
L5PCtemplate[0].axon[0],1
L5PCtemplate[0].axon[1],2
L5PCtemplate[0].apic[0],1
L5PCtemplate[0].apic[104],2
L5PCtemplate[0].apic[106],3
L5PCtemplate[0].apic[108],4
L5PCtemplate[0].apic[107],4
L5PCtemplate[0].apic[105],3
L5PCtemplate[0].apic[1],2
L5PCtemplate[0].apic[99],3
L5PCtemplate[0].apic[103],4
L5PCtemplate[0].apic[100],4
L5PCtemplate[0].apic[102],5
L5PCtemplate[0].apic[101],5
L5PCtemplate[0].apic[2],3
L5PCtemplate[0].apic[80],4
L5PCtemplate[0].apic[88],5
L5PCtemplate[0].apic[92],6
L5PCtemplate[0].apic[94],7
L5PCtemplate[0].apic[96],8
L5PCtemplate[0].apic[98],9
L5PCtemplate[0].apic[97],9
L5PCtemplate[0].apic[95],8
L5PCtemplate[0].apic[93],7
L5PCtemplate[0].apic[89],6
L5PCtemplate[0].apic[91],7
L5PCtemplate[0].apic[90],7
L5PCtemplate[0].apic[81],5
L5PCtemplate[0].apic[87],6
L5PCtemplate[0].apic[82],6
L5PCtemplate[0].apic[86],7
L5PCtemplate[0].apic[83],7
L5PCtemplate[0].apic[85],8
L5PCtemplate[0].apic[84],8
L5PCtemplate[0].apic[3],4
L5PCtemplate[0].apic[79],5
L5PCtemplate[0].apic[4],5
L5PCtemplate[0].apic[14],6
L5PCtemplate[0].apic[20],7
L5PCtemplate[0].apic[26],8
L5PCtemplate[0].apic[34],9
L5PCtemplate[0].apic[36],10
L5PCtemplate[0].apic[50],11
L5PCtemplate[0].apic[60],12
L5PCtemplate[0].apic[68],13
L5PCtemplate[0].apic[74],14
L5PCtemplate[0].apic[78],15
L5PCtemplate[0].apic[75],15
L5PCtemplate[0].apic[77],16
L5PCtemplate[0].apic[76],16
L5PCtemplate[0].apic[69],14
L5PCtemplate[0].apic[71],15
L5PCtemplate[0].apic[73],16
L5PCtemplate[0].apic[72],16
L5PCtemplate[0].apic[70],15
L5PCtemplate[0].apic[61],13
L5PCtemplate[0].apic[67],14
L5PCtemplate[0].apic[62],14
L5PCtemplate[0].apic[64],15
L5PCtemplate[0].apic[66],16
L5PCtemplate[0].apic[65],16
L5PCtemplate[0].apic[63],15
L5PCtemplate[0].apic[51],12
L5PCtemplate[0].apic[53],13
L5PCtemplate[0].apic[57],14
L5PCtemplate[0].apic[59],15
L5PCtemplate[0].apic[58],15
L5PCtemplate[0].apic[54],14
L5PCtemplate[0].apic[56],15
L5PCtemplate[0].apic[55],15
L5PCtemplate[0].apic[52],13
L5PCtemplate[0].apic[37],11
L5PCtemplate[0].apic[45],12
L5PCtemplate[0].apic[49],13
L5PCtemplate[0].apic[46],13
L5PCtemplate[0].apic[48],14
L5PCtemplate[0].apic[47],14
L5PCtemplate[0].apic[38],12
L5PCtemplate[0].apic[40],13
L5PCtemplate[0].apic[44],14
L5PCtemplate[0].apic[41],14
L5PCtemplate[0].apic[43],15
L5PCtemplate[0].apic[42],15
L5PCtemplate[0].apic[39],13
L5PCtemplate[0].apic[35],10
L5PCtemplate[0].apic[27],9
L5PCtemplate[0].apic[33],10
L5PCtemplate[0].apic[28],10
L5PCtemplate[0].apic[30],11
L5PCtemplate[0].apic[32],12
L5PCtemplate[0].apic[31],12
L5PCtemplate[0].apic[29],11
L5PCtemplate[0].apic[21],8
L5PCtemplate[0].apic[25],9
L5PCtemplate[0].apic[22],9
L5PCtemplate[0].apic[24],10
L5PCtemplate[0].apic[23],10
L5PCtemplate[0].apic[15],7
L5PCtemplate[0].apic[19],8
L5PCtemplate[0].apic[16],8
L5PCtemplate[0].apic[18],9
L5PCtemplate[0].apic[17],9
L5PCtemplate[0].apic[5],6
L5PCtemplate[0].apic[11],7
L5PCtemplate[0].apic[13],8
L5PCtemplate[0].apic[12],8
L5PCtemplate[0].apic[6],7
L5PCtemplate[0].apic[10],8
L5PCtemplate[0].apic[7],8
L5PCtemplate[0].apic[9],9
L5PCtemplate[0].apic[8],9
L5PCtemplate[0].dend[79],1
L5PCtemplate[0].dend[81],2
L5PCtemplate[0].dend[83],3
L5PCtemplate[0].dend[82],3
L5PCtemplate[0].dend[80],2
L5PCtemplate[0].dend[78],1
L5PCtemplate[0].dend[63],1
L5PCtemplate[0].dend[71],2
L5PCtemplate[0].dend[73],3
L5PCtemplate[0].dend[75],4
L5PCtemplate[0].dend[77],5
L5PCtemplate[0].dend[76],5
L5PCtemplate[0].dend[74],4
L5PCtemplate[0].dend[72],3
L5PCtemplate[0].dend[64],2
L5PCtemplate[0].dend[68],3
L5PCtemplate[0].dend[70],4
L5PCtemplate[0].dend[69],4
L5PCtemplate[0].dend[65],3
L5PCtemplate[0].dend[67],4
L5PCtemplate[0].dend[66],4
L5PCtemplate[0].dend[42],1
L5PCtemplate[0].dend[46],2
L5PCtemplate[0].dend[52],3
L5PCtemplate[0].dend[60],4
L5PCtemplate[0].dend[62],5
L5PCtemplate[0].dend[61],5
L5PCtemplate[0].dend[53],4
L5PCtemplate[0].dend[55],5
L5PCtemplate[0].dend[57],6
L5PCtemplate[0].dend[59],7
L5PCtemplate[0].dend[58],7
L5PCtemplate[0].dend[56],6
L5PCtemplate[0].dend[54],5
L5PCtemplate[0].dend[47],3
L5PCtemplate[0].dend[51],4
L5PCtemplate[0].dend[48],4
L5PCtemplate[0].dend[50],5
L5PCtemplate[0].dend[49],5
L5PCtemplate[0].dend[43],2
L5PCtemplate[0].dend[45],3
L5PCtemplate[0].dend[44],3
L5PCtemplate[0].dend[39],1
L5PCtemplate[0].dend[41],2
L5PCtemplate[0].dend[40],2
L5PCtemplate[0].dend[16],1
L5PCtemplate[0].dend[34],2
L5PCtemplate[0].dend[36],3
L5PCtemplate[0].dend[38],4
L5PCtemplate[0].dend[37],4
L5PCtemplate[0].dend[35],3
L5PCtemplate[0].dend[17],2
L5PCtemplate[0].dend[25],3
L5PCtemplate[0].dend[29],4
L5PCtemplate[0].dend[33],5
L5PCtemplate[0].dend[30],5
L5PCtemplate[0].dend[32],6
L5PCtemplate[0].dend[31],6
L5PCtemplate[0].dend[26],4
L5PCtemplate[0].dend[28],5
L5PCtemplate[0].dend[27],5
L5PCtemplate[0].dend[18],3
L5PCtemplate[0].dend[20],4
L5PCtemplate[0].dend[22],5
L5PCtemplate[0].dend[24],6
L5PCtemplate[0].dend[23],6
L5PCtemplate[0].dend[21],5
L5PCtemplate[0].dend[19],4
L5PCtemplate[0].dend[7],1
L5PCtemplate[0].dend[11],2
L5PCtemplate[0].dend[15],3
L5PCtemplate[0].dend[12],3
L5PCtemplate[0].dend[14],4
L5PCtemplate[0].dend[13],4
L5PCtemplate[0].dend[8],2
L5PCtemplate[0].dend[10],3
L5PCtemplate[0].dend[9],3
L5PCtemplate[0].dend[0],1
L5PCtemplate[0].dend[6],2
L5PCtemplate[0].dend[1],2
L5PCtemplate[0].dend[3],3
L5PCtemplate[0].dend[5],4
L5PCtemplate[0].dend[4],4
L5PCtemplate[0].dend[2],3
